input_text,labels, source
Too tired to follow through today.,struggle,generated
It’s hard to balance everything right now.,struggle,generated
Skipped my goals again.,struggle,generated
I keep procrastinating on this task.,struggle,generated
My routine got derailed again.,struggle,generated
Just feeling off lately.,struggle,generated
Can’t seem to finish what I start.,struggle,generated
I’m stuck and don’t know what to do.,struggle,generated
Falling back into old habits.,struggle,generated
Log out.,system_command,generated
Turn off notifications.,system_command,generated
Switch to dark mode.,system_command,generated
Delete my account.,system_command,generated
Clear my goal history.,system_command,generated
Sync with my calendar.,system_command,generated
Open my stats dashboard.,system_command,generated
Restart onboarding.,system_command,generated
Download my data.,system_command,generated
Mute reminders for now.,system_command,generated
I'm full of energy today!,user_energy,generated
Totally drained right now.,user_energy,generated
Feeling sluggish this morning.,user_energy,generated
I’m alert and ready to go.,user_energy,generated
Super low energy today.,user_energy,generated
Barely made it out of bed.,user_energy,generated
Feeling pretty energized.,user_energy,generated
"Can’t focus, too tired.",user_energy,generated
Refreshed after a good nap.,user_energy,generated
Completely exhausted—need rest.,user_energy,generated
Busy with work all day.,user_status,generated
Just finished a long meeting.,user_status,generated
At the gym right now.,user_status,generated
"On a break, ready to plan.",user_status,generated
"Just got home, finally some free time.",user_status,generated
"Out with friends, won’t check in tonight.",user_status,generated
Going on vacation next week.,user_status,generated
Working overtime this week.,user_status,generated
Sick and need rest.,user_status,generated
"Just woke up, time to check in.",user_status,generated
"Im not sure what I want to do for a goal, I just wanna feel better.", user_status;goal_create,written
"I want to win an oscar, so help me a better actress", goal_create, written
